rho,p,hospitals_indices,fitness,z_max,unserved_demand,Horizon,LOS,occ
0.001,10,"[3, 22, 31, 35, 40, 54, 58, 66, 77, 109]",102.72342689516364,102.72333333333331,0.0,30,5,0.9
0.001,5,"[6, 27, 63, 77, 113]",133.53022215619282,133.53,0.0,30,5,0.9
0.001,15,"[3, 10, 32, 35, 37, 40, 42, 54, 59, 60, 66, 90, 100, 113, 128]",102.72341377362532,102.72333333333331,0.0,30,5,0.9
0.001,8,"[3, 27, 35, 40, 51, 58, 73, 109]",112.23517776669526,112.235,0.0,30,5,0.9
0.005,10,"[1, 11, 26, 41, 52, 58, 77, 109, 111, 113]",3874440.722666666,195.72166666666664,3874.244999999999,30,5,0.9
0.005,15,"[1, 11, 26, 27, 41, 52, 58, 63, 73, 74, 77, 90, 109, 111, 113]",126.56562393219998,126.565,0.0,30,5,0.9
0.002,10,"[1, 11, 27, 40, 51, 58, 73, 77, 111, 113]",115.28509637850246,115.285,0.0,30,5,0.9
0.003,10,"[1, 11, 26, 41, 62, 63, 74, 77, 109, 111]",129.2237379602836,129.22333333333333,0.0,30,5,0.9
0.004,10,"[1, 11, 26, 41, 58, 74, 77, 109, 111, 113]",164.5773631383281,164.57666666666668,0.0,30,5,0.9
0.005,11,"[1, 11, 26, 41, 48, 52, 58, 77, 109, 111, 113]",1047256.4593180192,216.4583333333333,1047.0399999999993,30,5,0.9
0.005,12,"[1, 11, 12, 41, 48, 52, 58, 74, 77, 109, 111, 113]",72704.3408882441,184.34,72.51999999999988,30,5,0.9
0.005,13,"[1, 11, 12, 26, 27, 41, 48, 52, 58, 77, 109, 111, 113]",164.57736578168297,164.57666666666668,0.0,30,5,0.9
0.001,9,"[3, 10, 31, 35, 40, 54, 58, 74, 113]",105.06840997856928,105.06833333333334,0.0,30,5,0.9
0.01,60,"[1, 3, 4, 6, 9, 10, 11, 12, 13, 21, 22, 25, 26, 27, 30, 32, 33, 35, 37, 40, 41, 48, 51, 52, 54, 58, 59, 61, 62, 63, 66, 68, 70, 73, 74, 75, 77, 78, 85, 87, 88, 90, 91, 94, 95, 97, 100, 103, 104, 109, 111, 113, 114, 115, 116, 119, 126, 127, 128, 132]",123.4507813107387,123.45,0.0,30,5,0.9
0.01,50,"[0, 1, 3, 6, 7, 8, 10, 11, 12, 13, 15, 16, 22, 25, 26, 27, 29, 31, 37, 41, 42, 43, 48, 51, 52, 58, 62, 63, 65, 66, 70, 73, 74, 75, 76, 77, 82, 86, 90, 94, 107, 109, 111, 113, 114, 116, 119, 122, 130, 132]",123.45083606546424,123.45,0.0,30,5,0.9
0.01,130,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132]",123.45079759522496,123.45,0.0,30,5,0.9
0.001,10,"[1, 11, 12, 26, 41, 58, 77, 109, 111, 113]",202.8925032673646,202.89166666666668,0.0,7,5,0.9
0.001,12,"[3, 9, 22, 27, 35, 40, 54, 58, 66, 70, 77, 109]",102.72340381594599,102.72333333333331,0.0,30,5,0.9
