nombre,localidad,provincia,longitud,latitud
El Madroño,El Madroño,Sevilla,-6.509198525614372,37.644854997032915
Lanteira,Lanteira,Granada,-3.137099762105006,37.16829781480474
Garrucha,Garrucha,Almería,-1.8230646764019804,37.17652296068211
Cantoria,Cantoria,Almería,-2.1962594987479553,37.3525097088661
Madre de Dios,Jerez de la Frontera,Cádiz,-6.130577845907644,36.6790627158917
S. José de Malcocinado-Los Badalejos,Malcocinado,Cádiz,-5.869790283459642,36.35855693900645
Algarrobo Costa,Algarrobo-Costa,Málaga,-4.053238369555555,36.74746034772143
Zaidín Sur,Granada,Granada,-3.5990046333604266,37.15358895875029
Barbate I (Anexo Materno Infantil),Barbate,Cádiz,-5.926209732976382,36.189172548173545
Mecina Alfahar,Mecina Alfahar,Granada,-3.068466814074946,36.99719893308175
Cuevas del Campo,Cuevas del Campo,Granada,-2.9296115148820907,37.607107820466645
Baena Dr. Ignacio Osuna Gómez,Baena,Córdoba,-4.321315530568688,37.619118913605426
Fuentes de Andalucía,Fuentes de Andalucía,Sevilla,-5.347446178635059,37.4631565956047
Rodalquilar,Rodalquilar,Almería,-2.0415658126985594,36.846593431589206
Lomopardo,Lomopardo,Cádiz,-6.082848894905106,36.654688938363236
Vélez-Benaudalla,Vélez de Benaudalla,Granada,-3.516751686470687,36.83076078393853
Villaverde del Rio,Villaverde del Río,Sevilla,-5.869524138388809,37.58834099913709
Gaucín,Gaucín,Málaga,-5.315532572787371,36.5219657029342
Cortes de Baza,Cortes de Baza,Granada,-2.77024292022926,37.65624253090376
Las Negras,Las Negras,Almería,-2.0076593355967254,36.8787189858139
Burguillos,Burguillos,Sevilla,-5.967014476492797,37.58616359801681
Hornos de Segura,Hornos,Jaén,-2.7199997581326545,38.216717378339084
Levante Norte de Córdoba,Córdoba,Córdoba,-4.755516558760256,37.89661272040899
Lora de Estepa,Lora de Estepa,Sevilla,-4.828237196194247,37.26743545941842
La Rábita,La Rábita,Jaén,-4.0571774721419365,37.504275490303506
La Puebla de Cazalla,La Puebla de Cazalla,Sevilla,-5.316176893579945,37.22132519563122
Sierra Elvira,Sierra Elvira,Granada,-3.7228016954905465,37.22905999450264
