municipio,PROVINCIA,poblacion,latitud,longitud
Adra,Almería,25195,36.74868325,-3.02330257
Albox,Almería,12311,37.38967753,-2.146835459
Alhama de Almería,Almería,3817,36.95718281,-2.56977648
Almería,Almería,200578,36.83892362,-2.46413188
Antas,Almería,3417,37.24459175,-1.91715315
Arboleas,Almería,4439,37.35116011,-2.0754646
Benahadux,Almería,4643,36.925792,-2.455766
Berja,Almería,12917,36.84732147,-2.94948207
Cantoria,Almería,3573,37.35219371,-2.19324978
Carboneras,Almería,8375,36.99742391,-1.89349648
Cuevas del Almanzora,Almería,15023,37.29705933,-1.880632167
Dalías,Almería,4202,36.82078429,-2.87111055
Gádor,Almería,3029,36.9530923,-2.49279322
Los Gallardos,Almería,3034,37.17027055,-1.9417002
Garrucha,Almería,10336,37.1797194,-1.82347743
Huércal de Almería,Almería,18507,36.87874536,-2.441637878
Huércal-Overa,Almería,20425,37.39055009,-1.94352848
Macael,Almería,5381,37.33233031,-2.30432229
Mojácar,Almería,7386,37.14008707,-1.85016798
Níjar,Almería,32858,36.96577831,-2.206606998
Olula del Río,Almería,6354,37.35213746,-2.298036055
Pechina,Almería,4358,36.91567505,-2.44105175
Pulpí,Almería,11247,37.41211031,-1.745159
Roquetas de Mar,Almería,106510,36.76467854,-2.6150576
Sorbas,Almería,2527,37.09821538,-2.124113
Tabernas,Almería,4032,37.04984427,-2.39150625
Tíjola,Almería,3518,37.34438543,-2.43885542
Turre,Almería,4092,37.15219777,-1.89478231
Vélez-Rubio,Almería,6558,37.64799415,-2.07415558
Vera,Almería,18919,37.24675325,-1.86877507
Viator,Almería,6160,36.88906423,-2.42781271
Vícar,Almería,28245,36.83084658,-2.64392746
Zurgena,Almería,2972,37.34234106,-2.03993235
El Ejido,Almería,89975,36.77576137,-2.81490838
La Mojonera,Almería,8778,36.75456705,-2.68308803
Balanegra,Almería,2931,36.74594326,-2.90884074
Alcalá de los Gazules,Cádiz,5205,36.46294815,-5.72311956
Alcalá del Valle,Cádiz,4995,36.90506622,-5.17259873
Algeciras,Cádiz,123639,36.13137811,-5.44774178
Algodonales,Cádiz,5498,36.88076763,-5.40470441
Arcos de la Frontera,Cádiz,30953,36.74821011,-5.80640518
Barbate,Cádiz,22811,36.19202922,-5.91828263
