Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0104000314,040059,Hospital Virgen del Mar,Andalucía,Almería,Almería,Carretera Del Mami KM 1,04120,950217167,76,Hospitales Generales,Privados,,Concierto parcial,NO
0104000316,040010,Hospital Universitario Torrecardenas,Andalucía,Almería,Almería,Calle Paraje Torrecardenas S/N,04009,950016114,779,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0104000320,040084,Hospital La Inmaculada,Andalucía,Almería,Huércal-Overa,Avenida Doctora Ana Parra S/N,04600,950029176,184,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0104000321,040118,Hospital Universitario de Poniente,Andalucía,Almería,"Ejido, El",Carretera Almerimar S/N,04700,950022500,281,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0104000322,040101,Hospital Mediterráneo,Andalucía,Almería,Almería,Calle Nueva Musa 8,04007,950621063,89,Hospitales Generales,Privados,,Concierto parcial,NO
0104001001,040127,Hospital de Alta Resolución El Toyo,Andalucía,Almería,Almería,Camino De La Botica S/N,04131,950158015,44,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0104002838,040138,Hospital Materno Infantil,Andalucía,Almería,Almería,Calle Donantes de Sangre S/N,04700,000000000,204,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0111000283,110162,Hospital General Santa Maria del Puerto,Andalucía,Cádiz,"Puerto de Santa María, El",Calle Valdés S/N,11500,956017000,238,Hospitales Generales,Privados,,Red de utilización pública (RUP),NO
0111000284,110125,Hospital San Juan Grande,Andalucía,Cádiz,Jerez de la Frontera,Glorieta Doctor Félix Rodriguez de La Fuente S/N,11408,956357300,143,Hospitales Generales,Privados,,Concierto parcial,NO
0111000285,110051,Hospital San Rafael,Andalucía,Cádiz,Cádiz,Calle Diego Arias 2,11002,956017267,280,Hospitales Generales,Privados,,Red de utilización pública (RUP),NO
0111000286,110259,Hospital Punta de Europa,Andalucía,Cádiz,Algeciras,Carretera Getares S/N,11207,956025000,270,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0111000289,110327,Hospital Universitario Puerta del Mar,Andalucía,Cádiz,Cádiz,Avenida Ana de Viya 21,11009,956002040,674,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0111000290,110110,Hospital Universitario de Jerez de La Frontera,Andalucía,Cádiz,Jerez de la Frontera,Carretera Ronda Circunvalación S/N,11408,956032075,484,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0111000291,110184,Hospital Universitario de Puerto Real,Andalucía,Cádiz,Puerto Real,"Carretera Nacional Ib., Km. 665 S/N",11510,956005147,319,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0111000292,110048,Hospital Nuestra Sra. de La Salud Ha S.L.,Andalucía,Cádiz,Cádiz,Calle Feduchy 8-14,11001,956225301,58,Hospitales Generales,Privados,,Sin concierto,NO
0111000293,110218,Hospital Virgen de Las Montañas,Andalucía,Cádiz,Villamartín,Avenida Ambulatorio S/N,11650,956041000,108,Hospitales Generales,Privados,,Red de utilización pública (RUP),NO
0111000294,110223,Hospital Virgen del Camino,Andalucía,Cádiz,Sanlúcar de Barrameda,"Carretera Sanlúcar-Chipiona, S/N S/N",11540,956048068,118,Hospitales Generales,Privados,,Red de utilización pública (RUP),NO
0111000295,110239,Hospital Jerez Puerta del Sur,Andalucía,Cádiz,Jerez de la Frontera,Avenida Puerta del Sur S/N,11408,956357100,98,Hospitales Generales,Privados,,Sin concierto,NO
0111000297,110103,Clínica Los Álamos,Andalucía,Cádiz,Jerez de la Frontera,Avenida Tamarix 4,11407,956182244,15,Hospitales Generales,Privados,,Sin concierto,NO
0111000300,110260,Hospital Viamed Novo Sancti Petri,Andalucía,Cádiz,Chiclana de la Frontera,"Avenida Octavio Augusto, S/N S/N",11139,956495000,37,Hospitales Generales,Privados,,Concierto parcial,NO
0111000411,110248,Hospital Viamed Bahía de Cádiz,Andalucía,Cádiz,Chiclana de la Frontera,Calle Ayala 2,11130,956533333,46,Hospitales Generales,Privados,,Concierto parcial,NO
0111002394,110282,Hospital Quirón Campo de Gibraltar,Andalucía,Cádiz,"Barrios, Los",Calle Arttysur - P. E. T. Las Marismas de Palmones S/N,11379,956798301,77,Hospitales Generales,Privados,,Concierto parcial,NO
0111004317,110316,Hospital de La Línea de La Concepción,Andalucía,Cádiz,"Línea de la Concepción, La","Ronda Norte, Esquina C/ Gabriel Mirã³ S/N",11300,956026500,243,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0111004473,110305,Hospital San Carlos de San Fernando,Andalucía,Cádiz,San Fernando,Paseo Capitán Conforto S/N,11100,956002100,66,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0111004486,110213,Hospital de Alta Resolución de Especialidades de La Janda,Andalucía,Cádiz,Vejer de la Frontera,Polígono 53 Parcela 72 S/N,11150,955018063,24,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000529,140116,Hospital Infanta Margarita,Andalucía,Córdoba,Cabra,Avenida Góngora S/N,14940,957021300,232,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000530,140230,Hospital Universitario Reina Sofia,Andalucía,Córdoba,Córdoba,Avenida Menéndez Pidal S/N,14004,957010380,607,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000531,140060,Hospital Provincial,Andalucía,Córdoba,Córdoba,Avenida Menéndez Pidal S/N,14004,957011604,389,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000532,140039,Hospital Los Morales,Andalucía,Córdoba,Córdoba,Carretera Los Molares S/N,14012,957012042,19,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000533,140044,Hospital Materno - Infantil del H.U. Reina Sofia,Andalucía,Córdoba,Córdoba,Avenida Menéndez Pidal S/N,14004,957010380,194,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000535,140121,Hospital Valle de Los Pedroches,Andalucía,Córdoba,Pozoblanco,Calle Juan del Rey Calero S/N,14400,957026306,142,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000536,140082,Hospital San Juan de Dios de Córdoba,Andalucía,Córdoba,Córdoba,Avenida Del Brillante 106,14012,957274600,205,Hospitales Generales,Privados,,Concierto parcial,NO
0114000537,140076,Hospital Cruz Roja de Córdoba,Andalucía,Córdoba,Córdoba,Paseo De La Victoria S/N,14004,957420666,138,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0114000873,140195,Hospital de Montilla,Andalucía,Córdoba,Montilla,"Carretera Ctra. Montoro-Puente Genil, Km. 65,350 S/N",14550,957022600,73,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
