rho,p,algorithm,Z_min,Z_mean,Z_ci95_pm,runtime_mean,runtime_ci95_pm,feas_rate_%,n_runs
0.001,5,acme,133.53,133.53,0.0,138.4287,3.6139,100.0,5
0.001,5,acme_no_sa,133.53,133.53,0.0,125.0534,2.0861,100.0,5
0.001,5,eaSimple,133.53,142.343,15.7452,30.4383,1.2541,100.0,5
0.001,5,eaMuCommaLambda,133.53,135.3147,4.9542,36.1304,1.041,100.0,5
0.001,5,eaMuPlusLambda,133.53,138.0407,7.8968,36.4792,2.1411,100.0,5
0.001,5,hill_climbing,133.53,136.2153,7.4545,6.6223,2.5818,100.0,5
0.001,5,simulated_annealing,133.53,133.53,0.0,50.751,1.6451,100.0,5
0.001,8,acme,112.235,112.3713,0.3785,159.5655,29.204,100.0,5
0.001,8,acme_no_sa,112.235,114.416,1.5847,133.5701,5.8005,100.0,5
0.001,8,eaSimple,115.1217,116.739,4.1506,34.6331,4.6594,100.0,5
0.001,8,eaMuCommaLambda,112.9167,114.3377,1.6104,40.5336,6.2457,100.0,5
0.001,8,eaMuPlusLambda,115.1217,116.739,4.1506,39.5712,5.3226,100.0,5
0.001,8,hill_climbing,115.285,115.285,0.0,13.7336,3.9501,100.0,5
0.001,8,simulated_annealing,112.235,112.235,0.0,52.8908,3.9679,100.0,5
0.001,10,acme,102.7233,102.871,0.4099,160.1941,25.4035,100.0,5
0.001,10,acme_no_sa,105.0683,105.0683,0.0,145.7238,24.0934,100.0,5
0.001,10,eaSimple,105.0683,109.038,4.8734,35.2822,5.075,100.0,5
0.001,10,eaMuCommaLambda,105.0683,110.3373,6.0134,43.4358,5.7763,100.0,5
0.001,10,eaMuPlusLambda,106.82,110.988,3.7404,44.816,9.6464,100.0,5
0.001,10,hill_climbing,105.0683,108.7677,6.2887,22.9803,9.3862,100.0,5
0.001,10,simulated_annealing,102.7233,102.7233,0.0,60.5619,15.1312,100.0,5
0.005,14,acme,148.075,149.037,1.6353,169.9739,1.3376,100.0,5
0.005,14,acme_no_sa,148.075,154.3567,10.7014,169.3966,13.9456,100.0,5
0.005,14,eaSimple,164.5767,175.6963,28.3593,37.0064,0.7733,80.0,5
0.005,14,eaMuCommaLambda,150.48,171.6497,21.9863,45.7868,1.7902,60.0,5
0.005,14,eaMuPlusLambda,164.5767,176.904,21.9648,44.6835,1.3733,100.0,5
0.005,14,hill_climbing,148.075,151.3753,9.1617,28.8755,3.1016,100.0,5
0.005,14,simulated_annealing,148.075,148.075,0.0,59.5126,0.6589,100.0,5
0.005,17,acme,115.285,120.9547,4.0046,171.2187,2.7216,100.0,5
0.005,17,acme_no_sa,122.7183,122.8647,0.4062,165.916,2.8361,100.0,5
0.005,17,eaSimple,122.7183,123.7803,1.9852,36.5445,0.355,100.0,5
0.005,17,eaMuCommaLambda,122.7183,128.8617,9.5566,44.2677,0.6767,100.0,5
0.005,17,eaMuPlusLambda,122.7183,131.833,21.6956,44.5219,1.4091,100.0,5
0.005,17,hill_climbing,115.285,124.918,11.9527,37.049,4.7635,100.0,5
0.005,17,simulated_annealing,115.285,115.285,0.0,57.8233,0.4279,100.0,5
0.005,22,acme,115.285,115.285,0.0,189.8159,19.9696,100.0,5
0.005,22,acme_no_sa,115.285,115.285,0.0,165.3728,1.0021,100.0,5
0.005,22,eaSimple,115.285,119.745,5.0545,40.957,4.228,100.0,5
0.005,22,eaMuCommaLambda,115.285,123.4313,13.1339,47.2462,3.7714,100.0,5
0.005,22,eaMuPlusLambda,115.285,122.001,5.099,49.5596,5.3767,100.0,5
0.005,22,hill_climbing,115.285,128.6043,14.7086,58.882,17.7756,100.0,5
0.005,22,simulated_annealing,115.285,115.285,0.0,63.2137,6.2092,100.0,5
