nombre,localidad
Hospital Universitario Torrecardenas,Almería
Hospital Universitario Puerta del Mar,Cádiz
Hospital Universitario Reina Sofia,Córdoba
Hospital de Alta Resolución Valle del Guadiato,Peñarroya-Pueblonuevo
Hospital de Baza,Baza
Hospital Universitario Clínico San Cecilio,Granada
Hospital Universitario Juan Ramon Jimenez,Huelva
Hospital de Riotinto,Minas de Riotinto
Hospital San Agustín,Linares
Hospital San Juan de La Cruz,Úbeda
Hospital de Alta Resolución Sierra de Segura,Puente de Génave
Hospital Costa del Sol,Marbella
Hospital Universitario Virgen de La Victoria,Málaga
Hospital Victoria Eugenia de La Cruz Roja Española,Sevilla
Hospital Universitario Virgen Macarena,Sevilla
